Team,Position,Name,Minutes_played,Games_played,Yellow_Cards,Red_Cards,Goals_scored,Penalties_scored,Own_goals,Tackles,Shots,Assists,Passes,Goals_per_Match,Cards_per_Match,Passing_Efficiency,Set
FC Barcelona,Midfielder,Sergio,2.719,35,10,0,0,0,0,8,6,1,2.394,0.0,0.2857142857142857,0.880470761309305,Test
Athletic Club,Defender,Balenziaga,520.0,11,0,0,0,0,0,2,0,0,177.0,0.0,0.0,0.3403846153846154,Test
CD Leganés,Midfielder,El Zhar,954.0,27,0,0,4,1,0,0,18,0,258.0,0.14814814814814814,0.0,0.27044025157232704,Test
Sevilla FC,Defender,Gnagnon,444.0,7,2,0,0,0,0,2,3,0,258.0,0.0,0.2857142857142857,0.581081081081081,Test
Real Madrid,Forward,Mariano,439.0,13,2,0,3,0,0,0,15,0,92.0,0.23076923076923078,0.15384615384615385,0.20956719817767655,Test
Getafe CF,Forward,Mata,2.436,34,10,0,14,4,0,0,49,6,649.0,0.4117647058823529,0.29411764705882354,266.4203612479475,Test
Athletic Club,Defender,Yeray,2.614,30,10,0,0,0,0,16,7,0,1.284,0.0,0.3333333333333333,0.4912012241775058,Test
Real Madrid,Defender,Odriozola,1.179,14,2,0,0,0,0,1,1,2,594.0,0.0,0.14285714285714285,503.8167938931297,Test
Sevilla FC,Midfielder,Amadou,757.0,17,2,0,0,0,0,4,5,0,352.0,0.0,0.11764705882352941,0.46499339498018494,Test
Getafe CF,Forward,Jorge Molina,2.647,38,2,0,14,2,0,0,39,5,735.0,0.3684210526315789,0.05263157894736842,277.67283717415944,Test
Villarreal CF,Midfielder,Raba,186.0,8,0,0,0,0,0,0,1,1,93.0,0.0,0.0,0.5,Test
SD Eibar,Defender,Cote,3.034,35,9,0,1,0,0,5,15,1,1.4880000000000002,0.02857142857142857,0.2571428571428571,0.49044166117336857,Test
CD Leganés,Forward,Jose Arnáiz,108.0,6,0,0,0,0,0,0,1,0,30.0,0.0,0.0,0.2777777777777778,Test
Real Sociedad,Defender,Gorosabel,454.0,7,0,0,0,0,0,1,2,0,210.0,0.0,0.0,0.46255506607929514,Test
FC Barcelona,Forward,Malcom,608.0,15,0,0,1,0,0,0,10,2,305.0,0.06666666666666667,0.0,0.5016447368421053,Test
Real Betis,Defender,Feddal,1.7009999999999998,21,7,0,1,0,0,8,14,1,1.272,0.047619047619047616,0.3333333333333333,0.7477954144620812,Test
Rayo Vallecano,Midfielder,Franco Di Santo,169.0,6,1,1,0,0,0,0,0,0,36.0,0.0,0.3333333333333333,0.21301775147928995,Test
CD Leganés,Defender,Siovas,2.963,34,5,0,1,0,0,15,17,0,1.35,0.029411764705882353,0.14705882352941177,0.45561930475869056,Test
Villarreal CF,Midfielder,M. Trigueros,1.547,24,3,0,0,0,0,6,11,0,983.0,0.0,0.125,635.4234001292825,Test
SD Eibar,Midfielder,P. León,426.0,9,0,0,1,0,0,0,7,0,122.0,0.1111111111111111,0.0,0.2863849765258216,Test
Atlético de Madrid,Goalkeeper,Adán,90.0,1,1,0,0,0,0,0,0,0,22.0,0.0,1.0,0.24444444444444444,Test
Levante UD,Midfielder,Bardhi,2.841,36,6,0,3,0,0,3,50,4,1.103,0.08333333333333333,0.16666666666666666,0.3882435762055614,Test
Villarreal CF,Goalkeeper,S. Asenjo ,2.88,32,0,0,0,0,0,0,0,0,686.0,0.0,0.0,238.19444444444446,Test
CD Leganés,Forward,Youssef En-Nesyri,2.104,31,7,0,9,0,1,3,64,2,465.0,0.2903225806451613,0.22580645161290322,221.00760456273764,Test
Villarreal CF,Midfielder,Iván Martín,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Test
Levante UD,Defender,Toño,1.767,21,4,0,1,0,1,5,12,2,635.0,0.047619047619047616,0.19047619047619047,359.3661573288059,Test
Valencia CF,Forward,S. Mina,1.858,30,4,0,7,0,0,2,38,5,463.0,0.23333333333333334,0.13333333333333333,249.19268030139935,Test
Getafe CF,Midfielder,Portillo,1.991,32,3,1,1,0,0,0,7,4,749.0,0.03125,0.125,376.19286790557504,Test
Athletic Club,Goalkeeper,Herrerín,2.79,31,1,0,0,0,0,0,0,1,887.0,0.0,0.03225806451612903,317.921146953405,Test
RC Celta,Goalkeeper,Iván Villar,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Test
SD Huesca,Midfielder,Álex Gallar,1.002,25,2,0,4,1,0,1,19,1,407.0,0.16,0.08,406.187624750499,Test
Real Sociedad,Defender,H.Moreno,1.929,25,2,0,1,0,0,19,4,0,1.192,0.04,0.08,0.6179367547952307,Test
Getafe CF,Goalkeeper,R. Yáñez,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Test
Rayo Vallecano,Midfielder,Mario Suárez,1.026,14,5,0,2,0,0,3,15,0,578.0,0.14285714285714285,0.35714285714285715,563.3528265107212,Test
Real Madrid,Goalkeeper,Luca Zidane,90.0,1,0,0,0,0,0,0,0,0,38.0,0.0,0.0,0.4222222222222222,Test
Girona FC,Defender,Alcalá,1.868,25,9,0,1,0,0,18,12,1,863.0,0.04,0.36,461.99143468950746,Test
FC Barcelona,Forward,Suárez,2.827,33,5,0,21,4,0,4,93,6,956.0,0.6363636363636364,0.15151515151515152,338.1676689069685,Test
SD Eibar,Midfielder,Jordán,2.878,36,10,0,4,0,0,4,44,4,1.6840000000000002,0.1111111111111111,0.2777777777777778,0.5851285615010424,Test
Real Betis,Midfielder,A. Guardado,2.338,31,8,0,0,0,0,1,19,4,1.592,0.0,0.25806451612903225,0.6809238665526091,Test
R. Valladolid CF,Midfielder,Verde,641.0,22,1,0,2,1,0,0,20,0,232.0,0.09090909090909091,0.045454545454545456,0.3619344773790952,Test
Girona FC,Midfielder,Borja García,2.636,33,0,1,1,0,0,2,24,3,1.288,0.030303030303030304,0.030303030303030304,0.48861911987860396,Test
Real Betis,Midfielder,Tello Herrera,1.5590000000000002,29,4,0,4,0,0,0,29,6,778.0,0.13793103448275862,0.13793103448275862,499.0378447722899,Test
Getafe CF,Defender,Djené,2.98,34,10,2,0,0,0,11,9,0,974.0,0.0,0.35294117647058826,326.8456375838926,Test
SD Eibar,Midfielder,Sergio A.,1.064,19,1,0,0,0,0,4,2,0,498.0,0.0,0.05263157894736842,468.04511278195486,Test
RCD Espanyol,Defender,Iago Indias,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Test
R. Valladolid CF,Midfielder,Luismi,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Test
RCD Espanyol,Midfielder,Carlos Doncel,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Test
CD Leganés,Midfielder,Javier Avilés,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Test
R. Valladolid CF,Forward,Enes Ünal,2.15,33,7,0,6,3,0,4,38,3,524.0,0.18181818181818182,0.21212121212121213,243.72093023255815,Test
Villarreal CF,Midfielder,P. Fornals,2.483,35,4,0,2,0,0,4,43,3,1.13,0.05714285714285714,0.11428571428571428,0.4550946435763189,Test
SD Eibar,Forward,Marc,597.0,17,1,0,3,0,0,0,13,1,165.0,0.17647058823529413,0.058823529411764705,0.27638190954773867,Test
FC Barcelona,Goalkeeper,Cillessen,270.0,3,0,0,0,0,0,0,0,0,97.0,0.0,0.0,0.3592592592592593,Test
CD Leganés,Defender,Muñoz,211.0,3,0,0,0,0,0,1,2,0,115.0,0.0,0.0,0.5450236966824644,Test
Girona FC,Midfielder,Douglas Luiz,1.487,23,7,0,0,0,0,7,10,0,728.0,0.0,0.30434782608695654,489.57632817753864,Test
Valencia CF,Defender,Garay,2.137,24,4,0,2,0,0,23,10,0,1.07,0.08333333333333333,0.16666666666666666,0.5007019185774451,Test
CD Leganés,Midfielder,Szymanowski,9.0,1,0,0,0,0,0,0,0,0,5.0,0.0,0.0,0.5555555555555556,Test
Athletic Club,Defender,I. Lekue,210.0,4,1,0,0,0,0,0,0,0,85.0,0.0,0.25,0.40476190476190477,Test
D. Alavés,Midfielder,Andrei Lupu,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Test
Rayo Vallecano,Defender,Sergio Akieme,180.0,2,0,0,0,0,1,0,0,1,65.0,0.0,0.0,0.3611111111111111,Test
Girona FC,Defender,Muniesa,1.403,19,6,0,0,0,0,6,6,0,765.0,0.0,0.3157894736842105,545.2601568068425,Test
D. Alavés,Midfielder,Álex Blanco,14.0,2,0,0,0,0,0,0,0,0,6.0,0.0,0.0,0.42857142857142855,Test
Rayo Vallecano,Midfielder,Bebé,1.358,29,6,0,1,0,0,1,33,1,409.0,0.034482758620689655,0.20689655172413793,301.1782032400589,Test
D. Alavés,Goalkeeper,Pacheco,3.15,35,3,0,0,0,0,0,0,0,956.0,0.0,0.08571428571428572,303.4920634920635,Test
CD Leganés,Midfielder,Vesga,2.075,26,3,0,1,0,0,4,11,1,785.0,0.038461538461538464,0.11538461538461539,378.31325301204816,Test
